id,Title,Location,Company,Salary,Date,Description
,Jr. Web Developer,"Barrie, ON",Gooder Marketing Inc.,$18 - $20 an hour,2 days ago,"Job DescriptionGooder Marketing is looking for an experienced and outgoing individual, skilled at building WordPress websites. Must have great attention to detail and ability to work independently.ResponsibilitiesDevelop visually accurate user-driven websites from design using HTML / CSS / JavaScript / PHP within WordPress CMSDevelop and test across multiple browsers, platforms, and devices, including phones, tablets and desktop views.Self manage, assigned tasks to ensure projects stay ahead of deadlinesStay up-to-date on emerging trends and technologiesJob RequirementsFamiliarity with content management systems such as WordPress.Minimum of two years of professional website design/development experienceGreat understanding of HTML, CSS, Javascript, jQuery, and PHPAbility to work in a team environment, and aloneUnderstanding of responsive development and designProblem solver, able to come up with creative solutions to diverse problemsVisual focus to recreate website layouts from provided mockup artwork.Self-motivation and positive attitudeThe ability to juggle multiple projects, prioritize work and meet deadlinesStrong attention to detailThe ability to consistently produce professional-grade, creative, and timely designsWorking knowledge of content management systems (WordPress preferred)**It is highly recommended to include a sample of your work or link to your portfolio**Job Type: Full-timeJob Type: Full-timeSalary: $18.00 to $20.00 /hourExperience:Web Development: 1 year (Required)Language:English (Required)"
,Sr. Full Stack Engineer,"Toronto, ON",TD Bank,NA,30+ days ago,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.Stay current and competitive. Carve out a career for yourself. Grow with us.Department OverviewBuilding a World-Class, Diverse and Inclusive Technology Team at TDWe can't afford to be boring. Neither can you. The scale and scope of what TD does may surprise you. The rapid pace of change makes it a business imperative for us to be smart and open-minded in the way we think about technology. TD's technology and business teams become more intertwined as new opportunities present themselves. This new era in banking does not equal boring. Not at TD, anyway.TD Engineering covers a broad range of exercises and initiatives including requirements gathering, design specification, industry analysis, vendor engagement and analysis, software development, project management, financial management, test plans and execution, and operational standards implementation. Our highly-coveted Engineers are interspersed amongst many areas of focus: innovation, design, execution, maintenance, strategy, portfolio management. We call all of these things incredible learning opportunities and no two assignments are ever the same.There's room to grow in all of it.Job DescriptionAbout This RoleWe are looking for world-class engineers to help us develop a system that will serve as the main interface to our machine learning platform. The goal of this system is to help in all stages of model development, from feature engineering all the way to production monitoring.We empower our data scientists to build better models by helping them understand the data and trained models. We also provide the tools necessary for analyzing and visualizing machine learning algorithms in an effort to extract valuable business insights in a transparent and comprehensive manner.As Senior Full Stack Engineer at Layer 6, you'll work with data scientists to learn about different machine learning algorithms and ways to analyze them. On the backend, you'll work with the team to architect systems and design a REST API for the front-end web application, while on the front-end, you'll build intuitive interfaces to visualize data and answer questions about machine learning models.You'll also have the opportunity to work with the engineering team to tackle the challenge of developing high performance, robust and scalable systems.Job RequirementsWhat can you bring to TD & Layer 6? Share your credentials, but your relevant experience and knowledge can be just as likely to get our attention. It helps if you have:BSc+ in Computer Science or similar5+ years of programming experienceProven experience in designing and delivering a large web applicationExperience as a key contributor and leader on projectsStrong experience in Java or JavaScript (or other front-end languages)Extensive experience with at least one front-end framework (React, Elm, etc.)Passionate about creating a great user experienceStrong desire to learnWhat we consider an asset:Experience in building a web app in ElmExperience with functional programmingExperience with ElasticsearchFamiliarity with data analysis or machine learningExperience with Docker and KubernetesComfortable with math (linear algebra, calculus)Additional InformationJoin in on what others in TD Technology Solutions are doing:Inspire a positive work environment and help champion quality, innovation, teamwork and service to the business.Learn voraciously, stretch your thinking,InclusivenessAt TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.Job FamilyEngineeringJob Category - PrimaryTechnology SolutionsJob Category(s)Technology SolutionsHours37.5Business LineCorporateTime TypeFull TimeEmployment TypeRegularCountryCanada**Province/State (Primary)OntarioCity (Primary)TorontoWork Location661 University AvenueApply to jobSaveSend to friend"
,Programmer Analyst,"Toronto, ON",EOS Canada Inc,"$50,000 - $75,000 a year",30+ days ago,"Write code through the use of computer languages, such as C#, Java, UniVerse BASICWork closely with IT staff, managers, and end users in the organization or with client organizations to develop, maintain, and test computer programsDevelop computer programsFigure out the process of designing, writing, testing, debugging/troubleshooting and maintaining the source code of computer programs.Confirm project requirements by reviewing program objective, input data, and output requirements with business analyst, Director and clientArranges project requirements in programming sequence by analyzing requirements; prepare a work flow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logicEncode project requirements by converting work flow information into computer languageProgram the computer by entering coded information.Confirm program operation by conducting tests; modifying program sequence and/or codesPrepare reference for users by writing operating instructionsMaintain historical records by documenting program development and revisionsMaintain client confidence and protect operations by keeping information confidentialEnsure operation of equipment by following manufacturer's instructions; troubleshooting malfunctions; calling for repairs; evaluating new equipment and techniquesContribute to team effort by accomplishing related results as neededSpecific responsibilities;Create APIs for UniVerse DBMS (RedHat platform) using C#, VB or JavaCode interface for data exchange for new clients using UniVerse BASIC (training provided)Analyze data reporting variances on UniVerse DBMSCreate reports using Excel and Excel macros (VBA) from data sets extracted from UniVerse DBMSImplement new software productsReporting on SQL database using query languageBenefits:Dental careFlexible working hoursVision careOn-site parkingCasual dressWork from home opportunitiesVacation & paid time offLife insuranceEducation reimbursementReference ID: PA200Job Types: Full-time, PermanentSalary: $50,000.00 to $75,000.00 /yearExperience:DBMS or SQL query language: 3 years (Required)Java or C# or equivalent: 3 years (Required)Excel / VBA: 3 years (Preferred)UniVerse BASIC or equivalent: 1 year (Preferred)"
,Junior Web Developer,"Ottawa, ON",Savvy Sale,"$45,000 - $65,000 a year",5 days ago,"About Savvy SaleSet to launch in the Canadian real estate market mid-2020, Savvy Sale is creating a marketplace that connects home sellers with real estate agents in their area. Savvy Sale enables home owners to establish a realistic valuation for their property and significantly reduces the extensive time required to interview and hire the best agent.About the web developer roleWe are looking for a passionate software developer to design, develop and deploy solutions.Software developer responsibilities include gathering user requirements, defining system functionality and writing code in various languages. Our ideal candidates are familiar with the software development life cycle from preliminary system analysis to tests and deployment.Savvy Sale is a progressive web app built with the VueJS / Vuex / Vue Router javascript framework, hosted on Google Cloud Services (API functions, database, hosting) and Amazon Web Services. We develop and maintain our own Savvy Sale APIs.The web developer will participate in daily Agile/SCRUM reviews, assist in the technical design of the solution with the technical lead, and will be responsible for contributing to the development of the solution. All developers must maintain a working knowledge of best practices and new technologies.Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully performing software that complies with coding standards and technical design.RequirementsProven ability to develop single page applications with VueJS / Vuex / Vue RouterHighly proficient with Javascript, HTML, CSS and modern web standardsExperience writing automated tests with tools such as CypressExperience with NodeJS / Webpack, deployment optimizations and code splittingWorking knowledge of relational and non-relational databaseUnderstanding of cross-browser compatibility requirementsProficient with software development tools (vscode, git / github, etc)Ability to document requirements and specificationsDegree in Computer Science, Engineering or relevant fieldOptionalExperience with Realtor.ca IDX/DDF data feeds & integrationExperience with the Google Cloud PlatformJob Type: Full-timeSalary: $45,000.00 to $65,000.00 /yearExperience:Web Development: 3 years (Preferred)"
,Python Web/App Developer and Programmer,"Toronto, ON",Toronto Poly Clinic,$18 an hour,Today,"We are currently seeking a Web/App Developer and Programmer with experience fluent in PHP, MySQL, and Python with a familiarity of machine learning and deep learning. Knowledge in TensorFlow and PyTorch is an asset. We are looking for an ambitious and confident individual that is attentive to details with a strong work ethic in working as part of a team or individual.Responsibilities:Maintain an organized report and documentation of the development process.Website and software application designing, building, or maintaining.Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.Conferring with teams to resolve conflicts, prioritize needs, develop content criteria, or choose solutions.Directing or performing Website updates.Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.Editing, writing, or designing Website content, and directing team members who produce content.Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and groups.Back up files from Web sites to local directories for recovery.Identifying problems uncovered by customer feedback and testing and correcting or referring problems to appropriate personnel for correction.Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.Determining user needs by analyzing technical requirements.Developing Apps to meet company needs.Creating and implementing the source code of new applications.Testing source code and debugging code.Evaluating existing applications and performing updates and modifications.Developing technical handbooks to represent the design and code of new applications.Requirements:Bachelor degree in Computer Science and/or Web/App development or relevant experience is an asset.Solid knowledge and experience in programming applications for cross platforms (Win10/OSX/iOS/Android).Knowledge of programming language and technical terminology.Proficient in PHP, Python, MySQL, JSON, JavaScript, HTML, CSS, knowledge in Kotlin and Rust language is an asset.Ability to work with the Adobe suite of products and knowledge of Photoshop and Illustrator is an assetKnowledge of social media analytics and machine learning is an assetExperience in application and software development.Knowledge of software design and programming principles.Good mathematical and problem-solving skills.Good communication and team-working skills.Solid ability in both written and verbal communication.Able to develop ideas and processes and clearly express them.A high degree of independent judgment, able to solve complex problems and an ability to thrive in a fast-paced environment.Flexible schedule.If you feel that you would be an asset to our ever-growing company, please send us your resume.Job Types: Full-time/Contract, Freelance, Permanent.About Toronto Poly ClinicJoin"
,Front End Developer,"Toronto, ON",Synaptop,NA,14 days ago,"As a frontend developer, you will hone our website with a focus on Interaction, User Experience, Automation Development, and Technology.You will:Work with the team to design softwareManage and develop websitesIdentify and create frontend development tools and systemsIdentify and implement process improvements to enhance the user experienceRequired skills:Expertise in Javascript, Vue.js and WebpackExpertise in HTML5 and ES6Expertise in CSS3 and responsive designExperience working with Restful APIsExperience with Node.js and other popular librariesAble to design and develop structural codeBachelor’s degree or equivalentPerks of working at Synaptop:Work with cutting-edge technologiesGreat leadership team and great atmosphereCareer growth and professional development opportunitiesHealth and dental benefitsFlexible hoursWe work with movies. It’s a lot of fun!"
,Front-End JavaScript Developer,"Toronto, ON",STAGE TEN,"$70,000 - $85,000 a year",20 days ago,"Job DescriptionWe are seeking a Front-End JavaScript Developer with the desire to solve interesting UX problems in the live video mixing and streaming space. You will be responsible for the design and implementation of major features in the STAGE TEN Studio. This position reports directly to the CTO and will be part of a small, close-knit development team. This is a full-time position located at the STAGE TEN offices near Queen St. and Carlaw Ave.STAGE TEN offers competitive salaries, stock options, four weeks of vacation, and the opportunity to work in a startup environment with a fun team of experienced developers.Main ResponsibilitiesCollaborate with the team to clarify and refine requirements.Work with our designer to solve UX design issues.Generate development tasks based on the requirements and UX design.Work closely with other team members to implement high-quality solutions by writing clean, maintainable, testable, and performant code.Maintain and enhance existing software solutions.Take part in code reviews, discuss solutions, and support your team members.QualificationsMinimum 3 years professional experience with JavaScript, React, HTML5, CSS3, and responsive design.Experience integrating systems using REST APIs.Working knowledge or experience with WebRTC is a definite asset.Interest in live streaming on Twitch, YouTube, Facebook, or Twitter/Periscope.Experience with Node.js or Ruby on Rails is an asset.An easy communicator who is comfortable collaborating with others on the team.Strong interpersonal skills and the confidence to ask questions when facing uncertainty.Forthcoming in contributing opinions and open to great ideas from others.About STAGE TENSTAGE TEN is the most robust and easy-to-use live production, distribution, and engagement platform for social streaming. Its proprietary technology delivers the core capabilities of a live production studio and control room in a simple browser application that powers streams for the most popular creators on the Internet. With STAGE TEN, anyone can interact and transact with audiences around the globe and transform their Facebook, YouTube, Twitch, or Twitter page into a social TV channel.Benefits:Flexible working hoursVacation & paid time offCasual dressStock optionsJob Types: Full-time, PermanentSalary: $70,000.00 to $85,000.00 /yearExperience:Javascript: 3 years (Required)professional, full-time: 3 years (Required)Location:Toronto, ON (Required)"
,Front End Developer,"Toronto, ON",LeverageIT,NA,30+ days ago,"About usWe’re a tech-infused, design-driven digital agency located in Toronto, and we’re looking for a Front End Developer to join our team! From app development to website creation to marketing and everything in between, we’re a one-stop shop for clients who want to make an impact with their online presences and marketing campaigns.Working at Leverage IT is never boring. We take on a variety of projects ranging in size and industry, so there’s lots to do and learn. Our clients are movers, shakers, and game changers—and so is our team. Alongside our developers, designers, and marketers, we’re looking for a skilled Front End Developer to help take us to the next level.About the roleWhat do we need in a Front End Developer? Someone with key development experience who is able to work well with a variety of team members and stakeholders. If you can code like a boss and develop sites that look great and function magnificently, we want you!ResponsibilitiesOpportunity to work on projects from a variety of different industriesWork closely with project manager, graphic designer, and other team membersDevelopment using front-end web technologies like HTML, CSS, and JavaScriptCreate mockups and prototypes for websites and mobile appsHelp plan product features and initiatives by providing a design and front-end perspectiveCapture requirements, create documentation and communicate with stakeholdersSkills & QualificationsSolid experience in HTML5, Javascript and CSSExperience with WordPress is an assetExpertise in implementing the latest web and mobile design technique trendsKnowledge of usability and UI/UX best practices.Experience integrating third party APIsAbility to read, write, and optimize front-end code for performance and robustnessLoves to learn and explore new technologiesComfort with start-up environments — you’re an efficient thinker, and you roll with the punches when priorities shift"
,superstar software developer,"Brantford, ON",MAK Consulting Group,NA,3 days ago,"You’ll want to meet us, if you:Enjoy learning new technologies and applying them to the task at handTake pride in the quality of your codeLove to deliver great results for clientsAre high energy, and love working with peopleValue being trusted to take on responsibilityLike being part of a creative processEnjoy traveling and experiencing different parts of the world (and are able to work throughout North America)Love to see a job through from start to finishHave a university degree in Computer Science, Engineering, Information Systems, or related disciplinesLike coding with HTML5, C#, and SQLWe want to meet you, if you:Want to work for a team-oriented companyAre looking for a company that stakes its reputation on the quality of its workAre looking for a big-city salary while enjoying a lower cost of livingWant to avoid the stop-and-go traffic to and from TorontoWant to grow along with a fast-growing companyWant to work for a place where the owners are programmers tooWant a career where you are appreciated by both your employer AND clientsWant to be part of a team that prides itself on being friendly, professional and respectfulPlease note we are looking for people qualified to obtain a TN Visa to work in the USA. Some of our clients are located in the US and occasional onsite travel is required to commission an application.So, what’s next? If we sound interesting to you, e-mail your resume to auto-recruit@makcg.com. We’d love to hear from you!P.S. After you send your resume to auto-recruit@makcg.com, we will respond with how to proceed in the next step of our selection process.MAK Consulting is an exciting and innovative software development company based in Brantford, Ontario, Canada."
,Front End Web Developer,"Toronto, ON",Texas Instruments Canada,NA,24 days ago,"Front-end Web DeveloperTexas Instruments is seeking an experienced Front-end Web Developer to join our growing studio team to enhance the customer experience for our engineering community. Your expertise in front-end coding and best practices, passion for process development and optimization, and excellence in designing and building reusable/modular components with HTML/CSS will bring value to our design team focused on various aspects of our company B2B website including: application design, component design systems, and eCommerce. We empower our team to raise the bar for TI.com by having an open, collaborative environment that encourages growth, autonomy and leadership.We look forward to meeting with you and sharing how our team has evolved into a valuable partner in the TI.com customer experience. Our office is conveniently located in downtown Toronto steps from Union Station and offer a flexible working environment.This is a contract position.You will:Design and build new reusable/modular functionality and component in HTML, CSS/SASS/SCSS, JavaScript that are tested with error-free, production ready code and contribute to an existing design systemMaintain existing web components and work with deployment pipelinePerform peer reviews and provide feedback and approval for other Front-end Designers to ensure the generated code meets project specifications, cross browser compatibility and adhere to our guidelinesParticipate in User Acceptance Tests (UATs), troubleshoot bugs and research resolutionsResearch on technologies under the direction of Front-end Specialist, document technical restrictions and dependencies for patternsUpdate and contribute to Pattern LibraryResolve technical issues by coordinating with back end developers and DevOpsBe a liaison between developers and the UX design teamConsult with and provide functional feedback to UI/UX designers on designsImprove efficiency by performance focused thinking and efficient implementation techniquesParticipate in scrum meetings, create and update JIRA stories, subtasks and time trackingDeliver HTML/CSS guidelines, documentation, demo sessions and blogs as neededQualifications:A strong online portfolio demonstrating a range of relevant work is essential5+ years of solid understanding of HTML & CSS/SASS/SCSS semantics, best practices and guidelines at an enterprise level3+ years manipulating style of page elements in DOM and HTML templating in various JS formats, such as Thymeleaf and Nunjuks3+ years of experience in web framework technology such as Web components, Shadow DOM, Stencil, Angular and/or Riot3+ years designing with and contributing to an established design systemFamiliar with JavaScript as it pertains to user experience and interfaceStrong UI/UX design backgroundBeginner/intermediate JavaScript knowledge as it pertains to UI and functionalityComfortable with Node.js/NPMExperience with GIT, repo and branch managementUnderstand DevOps and pipeline processComfortable with UNIX command line interfaceUnderstand cross browser issues and resolutionsExcellent problem solving skills, attention to detail, curious and resourcefulStrong interpersonal skills, work collaboratively with other team members, with the ability to translate UX design to development needsAbility to think critically and devise solutions with business and user goals in mindJob Type: ContractExperience:design system/pattern library: 3 years (Required)HTML & CSS/SASS/SCSS: 5 years (Required)DOM and HTML templating in various JS formats: 3 years (Required)web framework technology: 3 years (Required)UX/UI design: 3 years (Required)Location:Toronto, ON (Required)"
,Front End Web Developer- contract,"Toronto, ON",Step by Step Professional Services,NA,30+ days ago,"We are seeking a Front End Web Developer for a Digital Marketing group within a banking organization. This is a 6-month contract to start located in Markham.Technical skills;Strong knowledge of the latest standards and techniques of HTML, CSS, JavaScript/jQuery. (nice to have Angular)Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS, Bourbon/Neat.Experience working with CMS (preferably OpenText WEM)Working within an Agile environment, understanding of Agile as a software methodology.Nice to have;IBM Campaign Management tool experienceMarketing background.Fintech or Banking experienceWe would like to thank you personally for applying to Step by Step Professional Services Inc. Please note that we will review your application and only those candidates selected for further consideration will be contacted directly. However, we will retain your application on file and would be pleased to contact you if further opportunities arise."
,.Net Software Developer,"Mississauga, ON",Trapeze,NA,1 day ago,"Job Description:As a Software Developer at Trapeze you will:Shape the future of next generation transportation solutionsCreate new features and maintain existing implementations based on business requirement and technical specificationsApply principles and methodologies of scrum agile development practicesDocument and test to ensure the quality of the completed work requirementPerform daily code review for other team members who work on the same productMaintain regular communication with other team members and stake holders to ensure the quality and timely product deliveriesCritical Requirements:University degree in Computer Science, Engineering Science or equivalentStrong knowledge of Object-Oriented Analysis and DesignPreferably 3 - 5 years of experience developing with C# .NET (.NET Core 2.0, ASP.NET MVC)Experience working with REST based services (ASP .NET Web API)Experience in SQL and relational databases (MS SQL, Oracle)Experience in HTML5, JavaScript, and CSS3 (experience with Angular is an asset)Effective verbal and written communication skillsKeen to learn and keep up with new technologySome of the nice things Trapeze can offer:Supportive teamFlexible HoursComplimentary Soda Drinks & Organic FruitsFun Employee EventsHealth Benefits From Day OneEducational Reimbursement for Professional DevelopmentFind out about our culture at http://careers.trapezegroup.com/#cultureWorker Type:RegularNumber of Openings Available:1"
,Full Stack Developer - New Grad,"Oakville, ON",Indellient,NA,17 days ago,"Are you interested in working as a Full Stack Developer? Are you graduating from University in the Spring or Winter of 2020? Are you worried that you have very little or no experience working in the field of your study? If so, stop worrying and start applying to an exciting opportunity we have waiting for you!We are currently looking for new graduates interested in pursuing a career in full-stack development. In this role, you will develop and contribute to new and existing applications used by enterprises and large corporations worldwide. This position is perfect for you, if you enjoy programming web applications, thrive in a fast-paced environment, and solving complex problems using creative solution is the prime objective.Your First 30 Days…Understand the company’s mission, vision, and overarching strategyLearn company-specific tools, processes, and proceduresHave frequent 1:1s with the manager to set expectations and goalsMeet key internal team members and stakeholdersYour First 60 Days…Support, fix and update applications already deployed in production environmentsPerform code review for other team members who work on the same productApply principles and methodologies of scrum agile development practicesYour First 90 Days…Design and build advanced applications from a set of requirementsDocument and test to ensure the quality of the completed work requirementMaintain regular communication with other team members and stakeholders to ensure the quality and timely product deliveriesCollaborate with users and development teams to provide solutions in a timely mannerDemonstrate new features and improvements in an engaging fashionAbout You:University degree or college diploma in computer science, software engineering or related fieldKeen interest in DevOps/Site ReliabilityProficiency in Java and a thorough understanding of unit testing is requiredStrong understanding of JavaScript, HTML, CSSKnowledge of Relational DatabaseKnowledge of database query performance tuning is beneficialKnowledge of Spring and Hibernate frameworks is beneficialUnderstanding of Angular 6+ and Ruby is valuableUnderstanding testing and infrastructure automation would be an assetWhat We Offer / Perks:Full benefits package from Day-1Fitness membership allowanceCompany cell phone or cell phone allowanceAn environment passionate about growth and learningMonthly Social eventsHeadquarters in NE Oakville, with satellite office in Waterloo. This role can optionally be partially based in WaterlooHead Office less than 1 km from the QEW, walking distance to cafés and eateriesDoes this sound like you? If so, we’d love to hear from you!"
,ETL Developer (ODI and OBIA),"Toronto, ON",CMG,$60 - $80 an hour,Today,"We are looking for an ODI/OBIA ETL Developer for a short project in Hamilton, ON.Required Skills and Qualifications:8+ Years of professional IT experience in all aspects of Data Warehousing System Development Lifecycles SDLC including requirement gathering data modeling development Testing deployment maintenance and enhancements and experience with ODI/OBIAStrong experience in developing and customizing OBIA Experience in Project methodology, SDLC, DW, BI infrastructure and architecture using OBIEE, OBIA, data loading, schedule and monitor workflows/jobs, dimensional modelling using Star schema in Data warehouse life cycle.Should have Oracle Business Intelligence OBIA expertise hands on development deployment and support experience.Experience in gathering requirements, Proof of concept, gap analysis, design, development, Testing, and Implementation of the OBIA/ETL/Data Warehouse projects.Highly experienced in working with OBIA Answers, OBIA Dashboards, BI Publisher and OBIA Delivery.Strong Experience with ODIStrong experience in SQL and PL/SQL. Design queries using PL/SQL to validate data and perform quality analysis, functional integration testing and troubleshooting. Excellent SQL skills with strong ability to debug and diagnose BI tool generated code.Experience:software development: 8 yearsODI/OBIA: 5 yearssql: 5 yearsBenefits:Work from home opportunitiesJob Types: Full-time, ContractSalary: $60.00 to $80.00 /hourExperience:ODI: 5 years (Required)OBIA: 5 years (Required)ETL: 5 years (Required)Work remotely:Temporarily due to COVID-19"
,Program Management Business Applications Developer,"Toronto, ON",Comtech Group,NA,13 days ago,"Program Management Business Applications Developer(Toronto, ON)Comtech Group Inc. (Comtech) is a multidisciplinary consulting firm providing professional services in Program and Project Management, Engineering, Technology and Project Capacity Services spanning multiple industry sectors, with offices across North America. With full-lifecycle consulting services from concept through to commissioning, Comtech provides scalable solutions to deliver capital programs and projects, ranging from the management, control and delivery of multi-billion-dollar urban rapid transit programs to complex capital initiatives for industrial manufacturers, public utilities and power generators.Comtech is engaged with Public and Private sector clients within the Transportation & Infrastructure, Industrial & Manufacturing, Energy & Utilities and Buildings & Facilities sectors. Leveraging our comprehensive range of technical, engineering and project management services, we are actively building and nurturing long-term relationships with our clients, employees and the communities we support. In support of our capital programs/projects and continued growth, Comtech is seeking qualified candidates for the position of Program Management Business Applications Developer.Responsibilities:Working with project stakeholders to gather business requirements and prepare Functional Design DocumentsDesign, development and maintenance of web applications using ASP.Net and C# programming languagesWriting software solutions utilizing .NET and .NET Core services that meet program requirements and improve the stability, security, and maintainability of project management information systemsWriting automated tests (unit, regression, integration) to ensure ongoing quality assuranceWriting complex SQL queries from scratch and using stored procedures / functionsQualifications Required:Bachelor’s Degree in Information Technology, Software Programming, Computer Science or related technical field2-5 of years of experience working within a project management environment considered a strong assetStrong knowledge of relational, SQL dimensional databasesProven work experience in web programmingSolid experience in developing web applications using ASP.Net and C#, knowledge of MVC FrameworkAdequate knowledge of relational database systems, Object Oriented Programming and web application developmentExcellent interpersonal and communication skillsProven experience in facilitating large and diverse groupsExperience working within an application development environmentComtech Group Inc. is committed to providing accessible employment practices that are in compliant with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation during any stage of the recruitment process, please notify Human Resources @ Comtech by emailing – career-at-teamcomtech.comComtech Group offers our employees a competitive compensation package with comprehensive employee benefits, and an environment that fosters teamwork & entrepreneurial spirit. Comtech Group is an equal opportunity employer. Please submit your resume in MS Word format to Comtech Group via e-mail at career-at-teamcomtech.com.Job Types: Full-time, PermanentExperience:Providing software solutions using ASP.NET and MVC: 2 years (Preferred)C# and .NET Web Applications Development: 3 years (Preferred)Location:Toronto, ON (Required)"
,Frontend Web Developer,"Toronto, ON",INDUS.AI,NA,19 days ago,"Job SummaryIndus.ai is looking for an enthusiastic and motivated individual to join our team. You'll be working closely with our development and design team to craft a bold new UX for various sensor monitoring dashboard that will shift the current landscape of the industry. You will play a key role in making web UX decisions and making our imaginations come to life.What you bring to the teamYou have designed and developed multiple web applicationsYou learn fast, you thrive in a fast-paced environmentPerform reviews and ensure the quality of the team's workYou stay current on emerging technologies always looking to work with the latest and greatest when needed.Proactively provide technical recommendations and solutions that are aligned to business and technical strategiesQualifications and Skills3+ years of experience with web application development.Experience with JavaScript tooling and libraries, like React, Angular, Vue, and jQuery.Experience working with REST/JSON APIs.Familiarity with Open Source projects and communities.Excellent communication skillsExperience gathering requirements from modern design tools like Figma and SketchPast experience with ReactJs and/Or AngularJs 1.4 is a big plusBenefits and PerksCompetitive salary and standard health and dental benefitsWork with world-class technologists working with cutting edge technologies.iPg0abC1tg"
,Junior Software Developer,"Halifax, NS",FoodByte,"$3,618 a month",12 days ago,"About FoodByte:Is the food you eat safe? Odds are you don't know and the food processor you bought it from does not know either. The majority of food processors don't have an effective food safety program in place, so why are they allowed to sell you food?FoodByte is changing the world by helping make food safer. FoodByte is an early stage high growth software as a service (SaaS) company, specializing in productivity and management tools for food processors. We remove the barriers to obtaining and maintaining a proper food safety program, specifically knowledge, time, and money.Our clients are SME food processors looking to increase their food safety standards to meet the requirements of the federal government or retailers. Every day, the demand for food safety programs is increasing. Food processors need food safety plans, and they need them yesterday, luckily, we're the fastest way to develop a plan.Job Summary:We are looking for a hard working developer that is not afraid of a good challenge. We are confident in our product, but now need a developer to help expand our current features. We are looking for someone who can help shape the early vision of FoodByte. Someone confident in their abilities, highly motivated and willing to see things through to the end. Someone who enjoys a good challenge with the promise of high rewards.Role Description:Having a willingness to learn and expand knowledge is a must. A background developing with python or Django is a plus but not required. Having a background working with startups is a plus. An average day will see you developing new features, bug fixing and planning new features to develop. This role provides flexibility, opportunities for personal growth and career advancement.Duties and Responsibilities:Developing softwareWork closely with the leadership team and provide regular feedback and advice on the development processParticipating in regular team meetings.Developing test cases and testing code to a known standardPerform any other work-related duties and responsibilities that may be assigned by executives.Contribute to building a teamwork environment to motivate and inspire other members within the company, work collaboratively toward vision and goal.Skills & Qualifications:Bachelor of Computer Science (BCS)Hard working and highly motivated.Excellent communication skills, and strong time-management.Experience some or all:Python 3.7 & 2.7Django 2.0 / 3.0Django Rest FrameworkReact NativeHTML 5 / CSS 3JavaScript ES6AJAX / JSONPostgres 8+GitBashDockerNot afraid to pioneer new ideasExcellent planning and organizing skills.Work scheduled:Full-timeSalary & Location:30k over next 8 months, (No Risk Trial Period to Start can continue past 8 months)Working Conditions:Office or remote environment.Independence.Frequent pressure to meet deadlines.FoodByte provides flexibility, opportunities for personal growth and career advancement.Although the ideal candidate will commit to full-time, a part-time candidate may be consideredBenefits:Casual dressVacation & paid time offReference ID: JuniorDevPart-time hours: 40 per weekJob Types: Full-time, Part-time, Temporary, PermanentSalary: $3,617.82 /monthExperience:Software Development: 1 year (Preferred)"
,Full Stack Developer,"Toronto, ON",baver IQ,NA,13 days ago,"This position is a remote position with equity-based compensation.AboutBased in Toronto, baver IQ is a startup in the sales engagement and AI field. We power inside sales teams with artificial intelligence modernizing the way they sell.With the emerging sales engagement market, baver IQ is developing advanced voice analytics. We are on the mission to end sales drudgery and allow inside sales teams to focus on activities that matter.The RoleWe are looking for a full-stack developer who loves to solve challenges. Someone who gets their hands into everything. This role will allow for the full ownership of front-end tasks and technologies. This role is split between 70% front end activities and 30% back end.You will be given the opportunity to actively contribute to all development sprints. The role is designed for full collaboration with AI system engineers and back-end development.The Skills1+ years of experience with modern front-end tools and frameworks such as AngularJS, React, SASS/LESS, Node.js [required]Fluent in JavaScript, HTML5, CSS3 [required]Django, Flask, Bottle [required]Python 3.5 or 3.7 [minimum 1-year experience]UX workflow experience [nice to have]Ionic or Xamarin [nice to have]Ability to read C# [nice to have]Operating OS: Linux [preferred]Experience with agile/scrum-based methodologies [required]Tools such as Trello, Jira, GitLab [nice to have]Versioning control [required]What’s In It For You?You will be part of a small team environment giving you the ability to lead and coordinate projects. We provide equity plans and future profit-sharing.Remote work opportunity. Who wants to waste time traveling.You will enjoy a work-life balance, team events, and hackathon opportunities.*Don’t forget to attach your resume, and GitHub page if available.Job Types: Full-time, Part-timeExperience:development: 1 year (Preferred)"
